Compound,Date,Negative,Neutral,Positive,Tweet Count,User
0.3612,Wed Dec 13 20:01:37 +0000 2017,0.0,0.615,0.385,61,@BBC
0.3612,Wed Dec 13 20:01:31 +0000 2017,0.0,0.898,0.102,62,@BBC
0.0,Wed Dec 13 20:01:23 +0000 2017,0.0,1.0,0.0,63,@BBC
0.0,Wed Dec 13 20:01:20 +0000 2017,0.0,1.0,0.0,64,@BBC
0.2732,Wed Dec 13 20:01:02 +0000 2017,0.0,0.826,0.174,65,@BBC
0.0,Wed Dec 13 20:00:57 +0000 2017,0.0,1.0,0.0,66,@BBC
0.0,Wed Dec 13 20:00:53 +0000 2017,0.0,1.0,0.0,67,@BBC
0.0,Wed Dec 13 20:00:44 +0000 2017,0.0,1.0,0.0,68,@BBC
0.0,Wed Dec 13 20:00:37 +0000 2017,0.0,1.0,0.0,69,@BBC
0.0,Wed Dec 13 20:00:31 +0000 2017,0.0,1.0,0.0,70,@BBC
-0.4215,Wed Dec 13 20:00:31 +0000 2017,0.167,0.833,0.0,71,@BBC
-0.8481,Wed Dec 13 20:00:21 +0000 2017,0.389,0.611,0.0,72,@BBC
0.0,Wed Dec 13 20:00:16 +0000 2017,0.0,1.0,0.0,73,@BBC
-0.6486,Wed Dec 13 20:00:14 +0000 2017,0.152,0.848,0.0,74,@BBC
0.0,Wed Dec 13 19:59:28 +0000 2017,0.0,1.0,0.0,75,@BBC
0.0,Wed Dec 13 19:59:00 +0000 2017,0.0,1.0,0.0,76,@BBC
0.9062,Wed Dec 13 19:57:54 +0000 2017,0.0,0.639,0.361,77,@BBC
-0.5423,Wed Dec 13 19:57:51 +0000 2017,0.179,0.821,0.0,78,@BBC
-0.7003,Wed Dec 13 19:57:37 +0000 2017,0.279,0.721,0.0,79,@BBC
0.0,Wed Dec 13 19:57:30 +0000 2017,0.0,1.0,0.0,80,@BBC
0.0,Wed Dec 13 19:57:19 +0000 2017,0.0,1.0,0.0,81,@BBC
0.0,Wed Dec 13 19:57:00 +0000 2017,0.0,1.0,0.0,82,@BBC
0.9062,Wed Dec 13 19:56:50 +0000 2017,0.0,0.601,0.399,83,@BBC
0.0,Wed Dec 13 19:56:17 +0000 2017,0.0,1.0,0.0,84,@BBC
0.0,Wed Dec 13 19:56:16 +0000 2017,0.0,1.0,0.0,85,@BBC
-0.5904,Wed Dec 13 19:55:54 +0000 2017,0.228,0.772,0.0,86,@BBC
0.0,Wed Dec 13 19:55:39 +0000 2017,0.0,1.0,0.0,87,@BBC
0.0,Wed Dec 13 19:55:31 +0000 2017,0.0,1.0,0.0,88,@BBC
0.0,Wed Dec 13 19:55:05 +0000 2017,0.0,1.0,0.0,89,@BBC
0.34,Wed Dec 13 19:54:56 +0000 2017,0.0,0.862,0.138,90,@BBC
0.4939,Wed Dec 13 19:54:41 +0000 2017,0.0,0.686,0.314,91,@BBC
0.0,Wed Dec 13 19:54:21 +0000 2017,0.0,1.0,0.0,92,@BBC
-0.3612,Wed Dec 13 19:54:06 +0000 2017,0.385,0.615,0.0,93,@BBC
0.0,Wed Dec 13 19:54:01 +0000 2017,0.0,1.0,0.0,94,@BBC
0.0,Wed Dec 13 19:53:42 +0000 2017,0.0,1.0,0.0,95,@BBC
-0.2732,Wed Dec 13 19:53:41 +0000 2017,0.11,0.89,0.0,96,@BBC
0.0,Wed Dec 13 19:53:31 +0000 2017,0.0,1.0,0.0,97,@BBC
0.0,Wed Dec 13 19:53:18 +0000 2017,0.0,1.0,0.0,98,@BBC
0.0,Wed Dec 13 19:52:47 +0000 2017,0.0,1.0,0.0,99,@BBC
0.0,Wed Dec 13 19:52:42 +0000 2017,0.0,1.0,0.0,100,@BBC
0.3612,Wed Dec 13 20:17:09 +0000 2017,0.0,0.828,0.172,1,@CBS
0.0,Wed Dec 13 20:16:53 +0000 2017,0.0,1.0,0.0,2,@CBS
-0.9127,Wed Dec 13 20:16:52 +0000 2017,0.419,0.484,0.097,3,@CBS
0.0,Wed Dec 13 20:16:50 +0000 2017,0.0,1.0,0.0,4,@CBS
0.5473,Wed Dec 13 20:16:33 +0000 2017,0.0,0.757,0.243,5,@CBS
-0.3818,Wed Dec 13 20:16:24 +0000 2017,0.224,0.776,0.0,6,@CBS
0.9584,Wed Dec 13 20:16:16 +0000 2017,0.0,0.412,0.588,7,@CBS
0.0,Wed Dec 13 20:16:06 +0000 2017,0.0,1.0,0.0,8,@CBS
-0.9081,Wed Dec 13 20:15:58 +0000 2017,0.401,0.599,0.0,9,@CBS
0.3724,Wed Dec 13 20:15:06 +0000 2017,0.0,0.812,0.188,10,@CBS
-0.4574,Wed Dec 13 20:15:06 +0000 2017,0.174,0.826,0.0,11,@CBS
0.6369,Wed Dec 13 20:14:46 +0000 2017,0.0,0.794,0.206,12,@CBS
0.0,Wed Dec 13 20:14:45 +0000 2017,0.0,1.0,0.0,13,@CBS
0.9183,Wed Dec 13 20:14:20 +0000 2017,0.0,0.536,0.464,14,@CBS
0.0,Wed Dec 13 20:14:06 +0000 2017,0.0,1.0,0.0,15,@CBS
0.0,Wed Dec 13 20:13:51 +0000 2017,0.0,1.0,0.0,16,@CBS
-0.4019,Wed Dec 13 20:17:35 +0000 2017,0.144,0.769,0.087,17,@CNN
-0.1027,Wed Dec 13 20:17:34 +0000 2017,0.065,0.935,0.0,18,@CNN
0.0,Wed Dec 13 20:17:34 +0000 2017,0.0,1.0,0.0,19,@CNN
-0.296,Wed Dec 13 20:17:33 +0000 2017,0.091,0.909,0.0,20,@CNN
0.0,Wed Dec 13 20:17:33 +0000 2017,0.0,1.0,0.0,21,@CNN
0.0,Wed Dec 13 20:17:33 +0000 2017,0.16,0.68,0.16,22,@CNN
-0.0516,Wed Dec 13 20:17:32 +0000 2017,0.05,0.95,0.0,23,@CNN
0.3527,Wed Dec 13 20:17:32 +0000 2017,0.139,0.643,0.218,24,@CNN
0.4019,Wed Dec 13 20:17:31 +0000 2017,0.159,0.573,0.268,25,@CNN
0.4559,Wed Dec 13 20:17:31 +0000 2017,0.102,0.682,0.215,26,@CNN
0.5423,Wed Dec 13 20:17:30 +0000 2017,0.0,0.667,0.333,27,@CNN
0.0,Wed Dec 13 20:17:30 +0000 2017,0.0,1.0,0.0,28,@CNN
-0.2782,Wed Dec 13 20:17:28 +0000 2017,0.084,0.916,0.0,29,@CNN
-0.5423,Wed Dec 13 20:17:27 +0000 2017,0.226,0.774,0.0,30,@CNN
0.4404,Wed Dec 13 20:17:27 +0000 2017,0.0,0.892,0.108,31,@CNN
-0.4023,Wed Dec 13 20:17:27 +0000 2017,0.105,0.895,0.0,32,@CNN
-0.5423,Wed Dec 13 20:17:26 +0000 2017,0.153,0.847,0.0,33,@CNN
-0.4019,Wed Dec 13 20:17:26 +0000 2017,0.144,0.769,0.087,34,@CNN
0.8271,Wed Dec 13 20:17:25 +0000 2017,0.0,0.446,0.554,35,@CNN
0.0,Wed Dec 13 20:17:24 +0000 2017,0.0,1.0,0.0,36,@CNN
-0.0516,Wed Dec 13 20:17:24 +0000 2017,0.05,0.95,0.0,37,@CNN
-0.0516,Wed Dec 13 20:17:23 +0000 2017,0.05,0.95,0.0,38,@CNN
-0.5267,Wed Dec 13 20:17:23 +0000 2017,0.405,0.595,0.0,39,@CNN
0.0,Wed Dec 13 20:17:23 +0000 2017,0.0,1.0,0.0,40,@CNN
0.0,Wed Dec 13 20:17:22 +0000 2017,0.0,1.0,0.0,41,@CNN
0.128,Wed Dec 13 20:17:22 +0000 2017,0.094,0.794,0.112,42,@CNN
-0.0516,Wed Dec 13 20:17:22 +0000 2017,0.05,0.95,0.0,43,@CNN
-0.0516,Wed Dec 13 20:17:21 +0000 2017,0.05,0.95,0.0,44,@CNN
